effective_date,added_ticker,added_security,removed_ticker,removed_security,reason,source,source_url,verified_at,confidence,notes,added_original_ticker,removed_original_ticker
2014-05-01,UA,Under Armour,BEAM,Beam,Beam acquired by Suntory,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2014-05-01,NAVI,Navient,SLM,SLM Corporation,Navient spun off from SLM,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2014-05-08,AVGO,Avago Technologies,LSI,LSI Corporation,Avago acquired LSI,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2014-06-20,XEC,Cimarex Energy,IGT,International Game Technology,Market capitalization change,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2014-07-01,AMG,Affiliated Managers Group,FRX,Forest Laboratories,Actavis acquired Forest Laboratories,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2014-07-02,MLM,Martin Marietta,X,United States Steel,Market capitalization change,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2014-08-06,DISCK,Discovery Communications,,,Class C share distribution,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2014-08-18,MNK,Mallinckrodt,RDC,Rowan Companies,Market capitalization change,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2014-09-20,URI,United Rentals,BTU,Peabody Energy,Market capitalization change,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2014-09-20,UHS,Universal Health Services,GHC,Graham Holdings,Market capitalization change,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2014-11-05,LVLT,Level 3 Communications,JBL,Jabil Circuit,Market capitalization change,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2014-12-05,RCL,Royal Caribbean Cruises,BMS,Bemis Company,Market capitalization change,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2015-01-27,HCA,HCA Holdings,SWY,Safeway,Safeway acquired by private equity consortium,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2015-01-27,ENDP,Endo International,COV,Covidien,Covidien acquired by Medtronic,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2015-03-12,SWKS,Skyworks,PETM,PetSmart,PetSmart acquired by private equity consortium,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2015-03-18,HSIC,Henry Schein,CFN,Carefusion,Carefusion acquired by Becton Dickinson,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2015-03-23,AAL,American Airlines Group,AGN,Allergan,Allergan acquired by Actavis,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2015-03-23,EQIX,Equinix,DNR,Denbury Resources,Market capitalization change,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2015-03-23,SLG,SL Green Realty,NBR,Nabors Industries,Market capitalization change,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2015-03-23,HBI,Hanesbrands,AVP,Avon Products,Market capitalization change,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2015-04-07,O,Realty Income,WIN,Windstream Communications,Market capitalization change,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2015-06-11,QRVO,Qorvo,LO,Lorillard,Lorillard acquired,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2015-07-01,JBHT,J.B. Hunt,TEG,Integrys Energy Group,Integrys taken over,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2015-07-01,BXLT,Baxalta,QEP,QEP Resources,Baxalta spun off by Baxter,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2015-07-02,CPGX,Columbia Pipeline Group,ATI,Allegheny Technologies,Spin off of Columbia Pipeline,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2015-07-06,KHC,Kraft Heinz,KRFT,Kraft Foods,Kraft merger with Heinz,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2015-07-08,AAP,Advance Auto Parts,FDO,Family Dollar,Family Dollar acquired,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2015-07-20,PYPL,PayPal,NE,Noble Corporation,PayPal spun off by eBay,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2015-07-29,SIG,Signet Jewelers,DTV,DirecTV,DirecTV acquired by AT&T,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2015-08-28,ATVI,Activision Blizzard,PLL,Pall Corporation,Pall taken over,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2015-09-02,UAL,United Continental Holdings,HSP,Hospira,Hospira taken over,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2015-09-18,CMCSK,Comcast Class K,,,Share class methodology change,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2015-09-18,FOX,Twenty-First Century Fox,,,Share class methodology change,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2015-09-18,NWS,News Corporation,,,Share class methodology change,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2015-10-07,VRSK,Verisk Analytics,JOY,Joy Global,Market capitalization change,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2015-11-02,HPE,Hewlett Packard Enterprise,HCBK,Hudson City Bancorp,HPQ spins off HPE,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2015-11-18,SYF,Synchrony Financial,GNW,Genworth Financial,GE spinning off Synchrony Financial,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2015-11-19,ILMN,Illumina,SIAL,Sigma-Aldrich,Sigma-Aldrich acquired by Merck KGaA,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2015-12-01,CSRA,CSRA,CSC,Computer Sciences Corporation,CSC spins off CSRA,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2015-12-15,,,CMCSK,Comcast K Corp,Shares no longer listed,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2015-12-29,CHD,Church & Dwight,ALTR,Altera,Altera taken over by Intel,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2016-01-05,WLTW,Willis Towers Watson,FOSL,Fossil Group,WSH merges with TW and renames to WLTW,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2016-01-19,EXR,Extra Space Storage,ACE,ACE Ltd,ACE acquires Chubb and retains CB ticker,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2016-02-01,CFG,Citizens Financial Group,PCP,Precision Castparts,Market capitalization change,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2016-02-01,FRT,Federal Realty Investment Trust,BRCM,Broadcom Corporation,Market capitalization change,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2016-02-22,CXO,Concho Resources,PCL,Plum Creek Timber,Plum Creek taken over by Weyerhaeuser,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2016-03-04,AWK,American Water Works,CNX,Consol Energy,Market capitalization change,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2016-03-07,UDR,UDR,GMCR,Keurig Green Mountain,JAB acquired Keurig Green Mountain,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2016-03-30,HOLX,Hologic,POM,Pepco Holdings,Exelon acquired Pepco,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2016-03-30,CNC,Centene Corporation,ESV,Ensco,Centene acquired Health Net,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2016-04-04,FL,Foot Locker,CAM,Cameron International,Schlumberger acquired Cameron,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2016-04-08,UA,Under Armour Class C,,,Under Armour distribution of second class of stock,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2016-04-18,ULTA,Ulta Beauty,THC,Tenet Healthcare,Market capitalization change,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2016-04-25,GPN,Global Payments,GME,GameStop,Global Payments acquiring Heartland Payment Systems,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2016-05-03,AYI,Acuity Brands,ADT,ADT,ADT acquired by Apollo,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2016-05-13,ALK,Alaska Air Group,SNDK,SanDisk,SanDisk acquired by Western Digital,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2016-05-18,DLR,Digital Realty,TWC,Time Warner Cable,Time Warner Cable acquired by Charter,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2016-05-23,LKQ,LKQ Corporation,ARG,Airgas,Airgas acquired by Air Liquide,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2016-05-31,AJG,Arthur J. Gallagher & Co.,CCE,Coca-Cola Enterprises,CCE merging with European bottlers,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2016-06-03,TDG,TransDigm Group,BXLT,Baxalta,Shire acquiring Baxalta,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2016-06-22,FBHS,Fortune Brands Home & Security,CVC,Cablevision Systems,Cablevision acquired by Altice,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2016-07-01,LNT,Alliant Energy,GAS,AGL Resources,AGL acquired by Southern,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2016-07-01,ALB,Albemarle Corporation,TE,TECO Energy,TECO acquired,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2016-07-05,FTV,Fortive,CPGX,Columbia Pipeline Group,Columbia Pipeline acquired,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2016-09-06,MTD,Mettler Toledo,TYC,Tyco International,Tyco acquired Johnson Controls and retained JCI ticker,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2016-09-08,CHTR,Charter Communications,EMC,EMC Corporation,Dell acquired EMC,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2016-09-22,COO,The Cooper Companies,HOT,Starwood,Marriott acquired Starwood,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2016-09-30,COTY,Coty,DO,Diamond Offshore Drilling,Market capitalization change,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2016-11-01,ARNC,Arconic,AA,Alcoa,Alcoa spins off Arconic,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2016-12-02,MAA,Mid-America Apartments,OI,Owens-Illinois,Market capitalization change,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2016-12-02,EVHC,Envision Healthcare,LM,Legg Mason,Market capitalization change,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2017-01-05,IDXX,Idexx Laboratories,STJ,St Jude Medical,Abbott acquired St Jude Medical,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2017-02-28,INCY,Incyte,SE,Spectra Energy,Spectra acquired,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2017-03-01,CBOE,Cboe Holdings,PBI,Pitney Bowes,CBOE acquired BATS,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2017-03-02,REG,Regency Centers,ENDP,Endo International,Regency acquires Equity One,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2017-03-13,DISH,Dish Network,LLTC,Linear Technology,Analog Devices acquired Linear Technology,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2017-03-16,SNPS,Synopsys,HAR,Harman International,Samsung acquired Harman,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2017-03-20,AMD,Advanced Micro Devices,URBN,Urban Outfitters,Market capitalization change,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2017-03-20,RJF,Raymond James Financial,FTR,Frontier Communications,Market capitalization change,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2017-03-20,ARE,Alexandria Real Estate Equities,FSLR,First Solar,Market capitalization change,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
2017-04-04,DXC,DXC Technology,SWN,Southwestern Energy,HPE spin and CSC merger formed DXC,Wikipedia selected changes,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies#Selected_changes_to_the_list_of_S&P_500_components,2026-06-03,medium,Selected changes table; may not be complete,,
